Lake,Water_Year,Ice_On_100,Full_Ice_Cover,Functional_Ice_Off,No_Ice_Cover,IceOffFunc_to_IceOff0
Loch,2012,44,,208,,
Loch,2013,22,227,241,248,7
Loch,2014,49,205,219,247,28
Loch,2015,45,197,220,239,19
Loch,2016,53,195,237,251,14
Loch,2017,39,173,229,243,14
Loch,2018,37,,221,235,
Loch,2019,29,206,242,260,18
Loch,2020,33,211,218,235,17
Loch,2021,41,210,245,255,10
Loch,2022,30,216,230,244,14
Loch,2023,,215,229,243,14
