Ice_off_func,wy_doy,waterYear
208,208,2012
241,241,2013
219,219,2014
220,230,2015
237,237,2016
229,229,2017
228,228,2018
242,242,2019
218,218,2020
245,245,2021
230,230,2022
229,229,2023
