Date,cond_uScm
7/17/20 0:00,10.53099559
7/18/20 0:00,10.46252378
7/19/20 0:00,10.37738899
7/20/20 0:00,10.31897813
7/21/20 0:00,10.25867924
7/22/20 0:00,10.3025134
7/25/20 0:00,10.22819483
7/26/20 0:00,10.24112403
7/27/20 0:00,10.22695045
7/28/20 0:00,10.25962205
7/29/20 0:00,10.29510618
7/30/20 0:00,10.42386851
7/31/20 0:00,10.51033021
8/1/20 0:00,10.69682014
8/2/20 0:00,10.79225132
8/3/20 0:00,10.95664844
8/4/20 0:00,11.0767166
8/5/20 0:00,11.23720712
8/6/20 0:00,11.36765076
8/7/20 0:00,11.43478021
8/8/20 0:00,11.52780222
8/9/20 0:00,11.77804854
8/10/20 0:00,11.77420045
8/11/20 0:00,11.89678517
8/12/20 0:00,11.99049184
8/13/20 0:00,12.13992066
8/14/20 0:00,12.30229656
8/15/20 0:00,12.35484753
8/16/20 0:00,12.37353361
8/17/20 0:00,12.48844184
8/18/20 0:00,12.52708424
8/19/20 0:00,12.57184087
8/20/20 0:00,12.69133799
8/21/20 0:00,12.75530889
8/22/20 0:00,12.73748451
8/23/20 0:00,12.74176007
8/24/20 0:00,12.93308753
8/25/20 0:00,12.97654955
8/26/20 0:00,13.02336069
8/27/20 0:00,12.97359847
8/28/20 0:00,12.94855795
8/29/20 0:00,12.90141125
8/30/20 0:00,12.73116806
8/31/20 0:00,12.75186247
9/1/20 0:00,12.8280901
9/2/20 0:00,12.88763583
9/3/20 0:00,13.03512691
9/4/20 0:00,12.79333628
9/5/20 0:00,12.78188993
9/6/20 0:00,12.93820875
9/7/20 0:00,13.04942007
9/8/20 0:00,13.02628861
9/9/20 0:00,12.91893344
9/10/20 0:00,12.8034375
9/11/20 0:00,12.93446705
9/12/20 0:00,13.03882201
9/13/20 0:00,13.29426073
9/14/20 0:00,13.80674313
9/15/20 0:00,14.2329149
9/16/20 0:00,14.69884767
9/17/20 0:00,15.07526403
9/18/20 0:00,15.53476413
9/19/20 0:00,15.92821851
9/20/20 0:00,16.34004306
9/21/20 0:00,16.73350142
9/22/20 0:00,16.93912118
9/23/20 0:00,17.09857066
9/24/20 0:00,17.57116521
9/25/20 0:00,17.83645792
9/26/20 0:00,18.15592764
9/27/20 0:00,18.31477094
9/28/20 0:00,18.40153872
9/29/20 0:00,18.6501159
9/30/20 0:00,18.91187076
10/3/20 0:00,19.10259191
10/4/20 0:00,19.09552747
10/5/20 0:00,19.18047531
10/6/20 0:00,19.78295278
10/7/20 0:00,20.48762948
10/8/20 0:00,19.84965472
10/9/20 0:00,19.94473229
10/10/20 0:00,19.57187156
10/11/20 0:00,19.53540104
10/12/20 0:00,19.39253184
10/13/20 0:00,19.51238205
10/14/20 0:00,20.03006382
10/15/20 0:00,19.80225299
10/16/20 0:00,20.05295531
10/17/20 0:00,20.53880198
10/18/20 0:00,20.51003979
10/19/20 0:00,20.53835965
10/20/20 0:00,20.42928035
10/21/20 0:00,20.5462191
10/22/20 0:00,21.49492427
10/23/20 0:00,25.14497875
10/24/20 0:00,25.86797441
10/25/20 0:00,26.78524274
10/26/20 0:00,27.47218302
10/27/20 0:00,27.14607451
10/28/20 0:00,27.15383712
10/29/20 0:00,27.33280247
10/30/20 0:00,27.85351344
10/31/20 0:00,28.06534795
11/1/20 0:00,28.10878372
11/2/20 0:00,28.15205229
11/3/20 0:00,27.2237825
11/4/20 0:00,26.16483674
11/5/20 0:00,26.18724212
11/6/20 0:00,24.81587233
11/7/20 0:00,23.07107882
11/8/20 0:00,22.61956681
11/9/20 0:00,24.91255243
11/10/20 0:00,23.60816306
11/11/20 0:00,24.58440479
11/12/20 0:00,25.2774674
11/13/20 0:00,25.73913059
11/14/20 0:00,27.01006545
11/15/20 0:00,27.13085358
11/16/20 0:00,27.73815233
11/17/20 0:00,28.13050903
11/18/20 0:00,28.19722215
11/19/20 0:00,27.67127656
11/20/20 0:00,27.80672601
11/21/20 0:00,27.64953094
11/22/20 0:00,27.31270976
11/23/20 0:00,27.50281691
11/24/20 0:00,25.9619774
11/25/20 0:00,24.26611601
11/26/20 0:00,24.57554868
11/27/20 0:00,27.24830934
11/28/20 0:00,28.29865497
11/29/20 0:00,28.25435983
11/30/20 0:00,28.4028325
12/1/20 0:00,28.65431649
12/2/20 0:00,29.25985615
12/3/20 0:00,29.49351542
12/4/20 0:00,30.77071406
12/5/20 0:00,31.22078556
12/6/20 0:00,31.85070083
12/7/20 0:00,32.34269309
12/8/20 0:00,32.61579472
12/9/20 0:00,32.93252073
12/10/20 0:00,33.24511819
12/11/20 0:00,33.38399205
12/12/20 0:00,33.06087281
12/13/20 0:00,32.64419014
12/14/20 0:00,33.16875698
12/15/20 0:00,32.65449035
12/16/20 0:00,33.15528903
12/17/20 0:00,33.38208441
12/18/20 0:00,34.03213684
12/19/20 0:00,33.66677441
12/20/20 0:00,34.05604743
12/21/20 0:00,33.74277
12/22/20 0:00,32.84360076
12/23/20 0:00,33.13162649
12/24/20 0:00,33.26404128
12/25/20 0:00,32.46235476
12/26/20 0:00,32.09925913
12/27/20 0:00,32.68194903
12/28/20 0:00,31.99067135
12/29/20 0:00,34.43056267
12/30/20 0:00,34.85418198
12/31/20 0:00,33.15739826
1/1/21 0:00,32.32311819
