"","Date","waterYear","airT_mean","airT_max","airT_min","wind_10m_mean","wind_10m_max"
"1",1991-12-17,1992,-1.163,2.89,-2.75,9.27947045749202,12.5561653776186
"2",1991-12-18,1992,-2.91833333333333,0.37,-6.63,8.64068589053586,15.0717169966944
"3",1991-12-19,1992,-4.55291666666667,-2.73,-8.53,13.2714241534288,29.3660961540178
"4",1991-12-20,1992,-6.09708333333333,-1.76,-9.91,4.72520640323282,13.5710231123531
"5",1991-12-21,1992,-2.1175,2.17,-10.53,12.9317886969646,17.8463812288939
"6",1991-12-22,1992,-4.2725,-1.53,-11.64,7.03877614156165,14.1216374152409
"7",1991-12-23,1992,-6.08791666666667,-2.06,-10.08,6.3095720688567,13.0420015272256
"8",1991-12-24,1992,-7.16833333333333,-1.16,-11.85,5.63479963887598,9.92185381086116
"9",1991-12-25,1992,-6.92166666666667,-0.54,-12.64,5.59296374818066,11.454936771843
"10",1991-12-26,1992,-10.6475,-3.25,-13.37,4.03019080030764,6.5857789168937
"11",1991-12-27,1992,-7.27875,-2.27,-11.61,6.51470288759935,11.0554714932773
"12",1991-12-28,1992,-4.77041666666667,-2.17,-6.39,16.2714623773821,26.0516139778106
"13",1991-12-29,1992,-7.26791666666667,-5.52,-8.37,19.892291236683,27.5739005799123
"14",1991-12-30,1992,-7.0525,-0.75,-11.61,6.64066040786781,15.5791458640617
"15",1991-12-31,1992,-9.00125,-6.8,-11.87,5.83678151958095,10.5156535492696
"16",1992-01-01,1992,-9.9975,-5.22,-12.84,8.76889265212312,14.1864155685218
"17",1992-01-02,1992,-6.03333333333333,-3.19,-10.08,19.2044732063599,24.1190657382632
"18",1992-01-03,1992,-2.5275,1.63,-7.26,8.64923300788183,24.8424217832334
"19",1992-01-04,1992,-4.57958333333333,-1.14,-7.43,22.491064788815,33.7278251415999
"20",1992-01-05,1992,-4.88875,0.27,-8.47,11.4342437506652,25.5549814693236
"21",1992-01-06,1992,-4.32916666666667,1.84,-9.46,5.13456834406792,8.03249100683428
"22",1992-01-07,1992,-9.37125,-5.43,-11.59,10.4058905673149,17.7492139989725
"23",1992-01-08,1992,-10.2504166666667,-8.53,-11.36,17.3798885556276,28.2000893949612
"24",1992-01-09,1992,-9.52666666666667,-4.03,-12.23,15.5332613385571,24.5833091701098
"25",1992-01-10,1992,-2.65208333333333,2.43,-8.74,14.9956926362467,23.7411931774578
"26",1992-01-11,1992,-2.48625,3.87,-9.32,11.2543044357221,24.4645492224281
"27",1992-01-12,1992,-12.1229166666667,-8.71,-17.85,3.6644641432388,5.5385321055188
"28",1992-01-13,1992,-15.0329166666667,-13.35,-18.35,18.0114755501029,30.6616592196362
"29",1992-01-14,1992,-13.8525,-12.89,-15.13,18.8832815296753,29.8303395858644
"30",1992-01-15,1992,-14.3491666666667,-7.41,-20.51,11.8071679802751,23.0394298502478
"31",1992-01-16,1992,-6.30833333333333,-4.64,-8.55,30.0840540195321,36.8371764990841
"32",1992-01-17,1992,-8.41333333333333,-6.64,-13.33,10.9897936435466,16.61559632
"33",1992-01-18,1992,-12.5654166666667,-8.01,-17.88,6.70768780256379,10.6668025735918
"34",1992-01-19,1992,-5.86041666666667,-1.27,-11.29,9.91555593481853,17.7384176400924
"35",1992-01-20,1992,-4.06833333333333,4.4,-7.81,4.88310315183913,7.13639321978153
"36",1992-01-21,1992,-4.71291666666667,-0.5,-8.56,14.2394976664923,27.0232862770245
"37",1992-01-22,1992,-12.49875,-8.73,-14.44,21.9035629262954,31.3418298290859
"38",1992-01-23,1992,-10.7575,-7.48,-14.77,23.7987737581312,31.1043099337225
"39",1992-01-24,1992,-5.27041666666667,-3.48,-7.72,30.5653916861614,37.6469034150956
"40",1992-01-25,1992,-1.86708333333333,1.53,-6.07,19.8846438158096,31.0827172159622
"41",1992-01-26,1992,-2.25791666666667,0.64,-4.03,17.1126786733213,30.6184737841156
"42",1992-01-27,1992,-3.56083333333333,-1.05,-5.05,13.9871327774227,21.4415687359851
"43",1992-01-28,1992,-1.38458333333333,3.96,-4.82,14.9893947602425,26.7533773050206
"44",1992-01-29,1992,-1.41833333333333,3.98,-3.65,10.5633374677881,20.6642309
"45",1992-01-30,1992,-1.51708333333333,0.78,-3.54,11.7630828482169,19.2175188066734
"46",1992-01-31,1992,0.826666666666667,6.07,-3.78,8.52192594272842,16.3348909856724
"47",1992-02-01,1992,-1.63708333333333,6.62,-5.99,4.8264222676896,8.80982884620534
"48",1992-02-02,1992,-2.03208333333333,3.38,-5.31,4.08597198782305,6.39144445705093
"49",1992-02-03,1992,-7.49666666666667,-5.29,-10.11,5.59971147250521,8.06488008347474
"50",1992-02-04,1992,-12.7633333333333,-6.36,-17.2,2.96180111945231,5.25782677463481
"51",1992-02-05,1992,-10.295,-3.61,-16.95,5.11162608145974,7.87054562363198
"52",1992-02-06,1992,-6.60583333333333,0.51,-12.07,5.13051970950633,11.3793622596819
"53",1992-02-07,1992,-5.01166666666667,2.12,-9.79,7.1309950403599,16.4860400099946
"54",1992-02-08,1992,-5.26916666666667,-3.52,-6.43,17.9682901145908,23.3201351811318
"55",1992-02-09,1992,-6.01208333333333,-5.15,-7.09,22.7519767950637,28.81548185113
"56",1992-02-10,1992,-5.98875,-4.35,-8.72,13.7280201642394,22.5104082651203
"57",1992-02-11,1992,-5.96166666666667,-3.98,-8.4,19.5247651864711,25.3606470094808
"58",1992-02-12,1992,-6.26375,-5.09,-6.95,24.0169501771884,28.9774272343323
"59",1992-02-13,1992,-4.51916666666667,-1.56,-6.86,17.1914021234979,31.5145715711684
"60",1992-02-14,1992,-6.79958333333333,-3.56,-8.32,17.926454223752,27.0016935592642
"61",1992-02-15,1992,-7.05875,-4.44,-9.18,22.3349674333178,28.6535364679277
"62",1992-02-16,1992,-6.425,-1.06,-8.79,10.2052582314744,24.3781783513868
"63",1992-02-17,1992,-11.2004166666667,-8.38,-12.75,23.4514908808403,30.1002485578682
"64",1992-02-18,1992,-12.0545833333333,-10.03,-13.63,21.1842555160081,28.955834516572
"65",1992-02-19,1992,-7.86541666666667,-3.5,-11.6,25.8338874070609,31.5901460833295
"66",1992-02-20,1992,-3.45916666666667,-0.56,-5.9,25.7245742733993,32.8749127900677
"67",1992-02-21,1992,-4.19333333333333,-2.54,-5.37,20.4190635803772,24.6156982467502
"68",1992-02-22,1992,-3.4825,0.45,-5.57,14.1900143548034,27.1204535069459
"69",1992-02-23,1992,-7.77333333333333,-3.78,-14.92,6.55338984026254,15.7626839650243
"70",1992-02-24,1992,-7.57541666666667,-3.18,-11.99,10.7936597904146,14.8018080246906
"71",1992-02-25,1992,-7.83916666666667,-3.36,-12.54,4.80168061194832,7.60063665162814
"72",1992-02-26,1992,-4.96833333333333,1.41,-12.82,6.61726829694091,12.8368707085026
"73",1992-02-27,1992,-2.61708333333333,1.7,-5.27,9.19489897959749,13.4522631646714
"74",1992-02-28,1992,-0.6475,6.6,-3.83,9.652394687144,20.1891911058872
"75",1992-02-29,1992,0.201666666666667,3.98,-2.83,16.3497359790305,26.7209882283802
"76",1992-03-01,1992,0.56,5.29,-2.88,15.106805163196,26.5374501274176
"77",1992-03-02,1992,-0.0337500000000001,5.5,-4.24,6.04101264171463,11.1634350820788
"78",1992-03-03,1992,-0.9875,3.97,-4.28,5.50659287711558,8.30239997883812
"79",1992-03-04,1992,-3.35416666666667,-2.69,-4.56,4.67707263653799,8.172843672
"80",1992-03-05,1992,-5.03,0.8,-11.27,8.03608979312767,25.6953341347656
"81",1992-03-06,1992,-3.86875,-2.11,-5.23,21.905362319545,26.990897200384
"82",1992-03-07,1992,-1.17916666666667,5.23,-4.28,11.7113502952466,21.9382012444721
"83",1992-03-08,1992,-5.0425,-0.15,-9.91,3.79896878095089,6.33746266265017
"84",1992-03-09,1992,-8.5475,-1.88,-11.37,6.31272100687715,11.3361768241613
"85",1992-03-10,1992,-8.255,-5.24,-10.31,14.3919962355314,25.0259598841961
